"metric","site_name","reporting_area","Ii","Z.Ii","p","p_fdr","cluster","sig_p05","sig_fdr05"
"ibr_morph","Meyer's Point, Henderson Inlet","13",-0.111167380892496,-1.20713859007211,0.227378775457544,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Shilshole Bay","10",-0.0797050358030263,-1.16076165380335,0.245738841238369,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Commencement Bay Skookum","11",0.213519546419345,1.16028393916276,0.245933221361219,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Elliot Bay Myrtle Edwards","10",-0.0073553219463728,-1.10057720588365,0.271080710612314,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Eastsound, Fishing Bay","7",0.387675816248434,1.09825982412598,0.272091049850799,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Arroyo Beach","11",0.0944744052845249,1.09746844918885,0.272436665625698,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Commencement Bay, Milwaukee Waterway","11",0.305815761634227,1.05197939174051,0.2928090047793,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Smith Cove, Terminal 91","10",0.0484787388624966,1.04900125170557,0.294177542323799,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Purdy, Dexters","13",0.0756741019064437,1.01138151806582,0.311833863477139,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Edmonds Ferry","9",-0.0463120757160757,-1.00844100127442,0.313242797806168,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Raft Island Park","13",-0.340337093026525,-0.977073800392032,0.328532617314822,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Eld Inlet","13",-0.144353356666932,-0.962760188954703,0.335667883708793,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Cherry Point Aquatic Reserve, Conoco Phillips","7",0.460519864648238,0.954261357688703,0.339951363041025,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Edmonds Marina","9",0.0183348798039744,0.944963304416608,0.344677610584687,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Thea Foss Waterway","11",0.381733805601512,0.915055456379769,0.360162517629805,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Penrose Point State Park","13",0.168545872847985,0.90092608516384,0.367627620885693,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Maple Hollow Park","13",-0.198967570382518,-0.896414869106079,0.370031228842911,0.702110536778857,"NS",FALSE,FALSE
"ibr_morph","Broad Spit","12",0.266513425200123,0.824735211650028,0.409521936226311,0.756423652214826,"NS",FALSE,FALSE
