sample_id,site_number,latitude,longitude,p450,sod,shell,ci1,ci2,ci3,site_name,reporting_area,km4,km5,hc4,hc5,p16,p42,phmw,plmw,pcb,p450_outlier,sod_outlier,ci1_outlier,ci2_outlier,ci3_outlier,shell_outlier
93,15,47.63237,-122.37869,7730819,3.914,0.845,0.034,0.69,0.075,"Smith Cove, Terminal 91",10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
94,15,47.63237,-122.37869,1618147,7.69,0.605,0.035,0.706,0.053,"Smith Cove, Terminal 91",10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,15,47.63237,-122.37869,4318288,13.201,0.7,0.033,0.683,0.058,"Smith Cove, Terminal 91",10,4,1,2,2,5,5,6,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,23,47.68234,-122.5064,1269668,0.0025,0.555,0.037,0.723,0.052,Brackenwood Ln,10,4,1,2,2,3,3,4,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,23,47.68234,-122.5064,2011541,15.989,0.625,0.033,0.639,0.05,Brackenwood Ln,10,4,1,2,2,3,3,4,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,23,47.68234,-122.5064,1651492,6.809,0.75,0.034,0.672,0.052,Brackenwood Ln,10,4,1,2,2,3,3,4,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,23,47.68234,-122.5064,2161794,7.492,0.755,0.034,0.738,0.056,Brackenwood Ln,10,4,1,2,2,3,3,4,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,8,48.04906,-122.7724,2951353,2.599,0.825,0.037,0.693,0.054,Chimacum Creek delta,9,3,5,3,3,2,2,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,8,48.04906,-122.7724,1782912,2.837,0.75,0.029,0.603,0.045,Chimacum Creek delta,9,3,5,3,3,2,2,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,8,48.04906,-122.7724,2742037,0.0025,0.995,0.033,0.654,0.052,Chimacum Creek delta,9,3,5,3,3,2,2,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,8,48.04906,-122.7724,3088893,2.177,1.045,0.03,0.591,0.057,Chimacum Creek delta,9,3,5,3,3,2,2,1,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
104,29,47.5706,-122.9717,NA,0.0025,0.725,0.032,0.672,0.048,Hood Canal Holly,12,3,3,1,1,1,1,1,2,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE
105,29,47.5706,-122.9717,NA,9.83,0.69,0.034,0.693,0.058,Hood Canal Holly,12,3,3,1,1,1,1,1,2,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE
106,29,47.5706,-122.9717,291625,0.0025,0.755,0.035,0.705,0.06,Hood Canal Holly,12,3,3,1,1,1,1,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,29,47.5706,-122.9717,1692340,0.0025,0.575,0.034,0.714,0.053,Hood Canal Holly,12,3,3,1,1,1,1,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,29,47.5706,-122.9717,NA,0.0025,0.63,0.035,0.667,0.055,Hood Canal Holly,12,3,3,1,1,1,1,1,2,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE
109,29,47.5706,-122.9717,380080,0.0025,0.685,0.036,0.688,0.055,Hood Canal Holly,12,3,3,1,1,1,1,1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
110,43,47.3062,-122.5145,2208901,4.647,0.79,0.036,0.718,0.05,Point Defiance Ferry,11,1,2,1,1,5,4,5,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,43,47.3062,-122.5145,1482316,6.956,0.79,0.037,0.724,0.057,Point Defiance Ferry,11,1,2,1,1,5,4,5,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
112,43,47.3062,-122.5145,2846056,3.17,0.87,0.038,0.7,0.053,Point Defiance Ferry,11,1,2,1,1,5,4,5,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113,43,47.3062,-122.5145,1927874,11.043,0.905,0.036,0.715,0.059,Point Defiance Ferry,11,1,2,1,1,5,4,5,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
114,48,47.292549,-122.412175,NA,31.015,0.635,0.037,0.748,0.049,"Comm Bay, Dick Gilmur Launch",11,1,2,1,1,5,4,5,5,5,NA,TRUE,FALSE,FALSE,FALSE,FALSE
