site_name,analyte,dryvalue
Edmonds Ferry,SumHCHs,-0.993864486
Rich Passage,SumHCHs,-0.773063806
Meyer's Point - Henderson Inlet,SumHCHs,-1.115205224
"Purdy, Burley Lagoon",SumHCHs,-0.861685339
"Comm Bay, Dick Gilmur Launch",SumHCHs,-0.976591981
"Comm Bay, Milwaukee Waterway",SumHCHs,-1.076873315
"Fidalgo Bay Aq Reserve, Weaverling Spit",SumHCHs,-1.717106724
Shilshole Bay,SumHCHs,-1.353084948
Elliot Bay Myrtle Edwards,SumHCHs,-1.20784217
Jamestown,SumHCHs,-1.126902655
Oak Bay County Park,SumHCHs,-1.090086207
Maristone Island,SumHCHs,-1.199439148
Penrose Point State Park,SumHCHs,-0.924178082
Maple Hollow Park,SumHCHs,-0.981481481
Kopachuck State Park,SumHCHs,-0.877159199
Raft Island Park,SumHCHs,-1.1257041
Miller Creek,SumHCHs,-1.016754197
Des Moines Marina,SumHCHs,-1.102551819
Browns Point Lighthouse,SumHCHs,-0.936108949
Minter Bay,SumHCHs,-1.052653061
Chambers Bay Park,SumHCHs,-0.707836457
Purdy - Dexters,SumHCHs,-0.917887843
Gig Harbor Boat Launch,SumHCHs,-1.046617043
Filucy Bay,SumHCHs,-0.948947928
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
