sample_id,latitude,longitude,site_name,site_number,reporting_area,p450,sod,shell,ci1,ci2,ci3,weight_initial_g,weight_final_g,weight_change_g,length_mm,width_mm,height_mm,IBR,IBRv2i
128,47.1905742,-122.5834897,Chambers Bay Park,56,13,3578424,14.492,1,0.027,0.6,0.041,9.308,3.726,5.582,51.48,23.58,17.17,6.708754928608011,-1.2777643667401493
129,47.1905742,-122.5834897,Chambers Bay Park,56,13,4479918,8.659,1.08,0.033,0.634,0.042,14.003,5.125,8.878,59.61,25.39,17.98,4.302225680272485,0.6530305104750118
130,47.1905742,-122.5834897,Chambers Bay Park,56,13,4173684,7.718,1.26,0.031,0.653,0.053,16.477,5.723,10.754,58.77,27.32,21.55,6.0004874356969085,2.274233339166237
131,47.33785,-122.58277,Gig Harbor Boat Launch,58,11,5582113,5.435,0.89,0.031,0.652,0.056,14.016,4.88,9.137,54.58,25.56,21.34,2.3551559034265916,0.45148554899571564
132,47.33785,-122.58277,Gig Harbor Boat Launch,58,11,2734669,9.944,0.845,0.03,0.649,0.049,11.704,4.114,7.591,53.71,25.97,18.25,3.033969196184415,-0.9947548916027642
133,47.33785,-122.58277,Gig Harbor Boat Launch,58,11,5447066,14.656,1.025,0.029,0.58,0.048,12.842,5.392,7.451,53.86,26.87,17.51,5.112560855789805,0.23331517647197722
134,47.33785,-122.58277,Gig Harbor Boat Launch,58,11,1608895,29.853,1.1,0.031,0.626,0.056,14.975,5.604,9.371,55.15,26.35,20.68,7.223736044668518,1.234799578068654
135,48.0617,-122.2939,Tulalip Bay,67,8.2,6050177,20.048,0.875,0.036,0.723,0.053,13.663,3.783,9.88,57.05,25.16,19,3.5078045941746225,0.1321748153877253
136,48.0617,-122.2939,Tulalip Bay,67,8.2,3475077,0.135,0.945,0.033,0.703,0.051,12.711,3.779,8.932,55.93,25.61,18.64,3.6105928302095625,-0.5394114336372496
137,48.0617,-122.2939,Tulalip Bay,67,8.2,7541126,9.075,0.855,0.036,0.727,0.056,15.722,4.293,11.429,58.73,26.08,20.78,2.4306112004072387,0.935230194460976
138,48.0617,-122.2939,Tulalip Bay,67,8.2,5438127,0.787,0.835,0.035,0.717,0.063,16.224,4.593,11.631,57.09,27.59,21.11,2.8992653247960867,0.6742174674161968
139,48.0617,-122.2939,Tulalip Bay,67,8.2,4707732,6.443,0.735,0.029,0.677,0.041,8.616,2.785,5.831,52.35,22.25,17.06,5.471495588515467,-2.349609336037948
