site_number,Individual,weight,length,width,height,weight_final,weight_change,condition_factor,avg_thickness,economic_index
77,242,14.6121,58.55,28.38,19.55,4.4461,10.17,0.2496,0.93,0.0021
1,243,52.92,22.63,16.92,3.5185,10.761,42.16,2.3385,0.545,0.0028
1,244,53.63,25.33,25.3,3.2437,12.9782,40.65,2.1173,0.64,0.0025
1,245,56.44,25.46,22.06,5.7298,16.1426,40.3,2.2168,0.89,0.0037
1,246,49.57,23.25,19.4,4.1478,11.9218,37.65,2.132,0.92,0.0043
1,247,61.03,26.56,22.9,6.2963,20.6254,40.4,2.2978,0.99,0.0040
1,248,58.99,27.56,21.03,4.7308,16.7285,42.26,2.1404,0.82,0.0034
52,249,56.77,25.83,19.91,5.0764,15.956,40.81,2.1978,0.86,0.0038
52,250,13.2798,54.74,24,19.33,4.4177,8.86,0.2426,0.77,0.0020
52,251,11.0863,54.71,24.03,17.15,3.3903,7.7,0.2026,0.69,0.0018
26,252,15.695,60.77,26.83,19.31,4.2946,11.4,0.2583,0.575,0.0013
52,253,20.3054,62.51,42.76,37.08,6.5415,13.76,0.3248,0.79,0.0015
26,254,15.4216,57.8,26.13,21.34,4.4321,10.99,0.2668,0.615,0.0015
26,255,11.5391,54.26,24.95,17.55,4.0125,7.53,0.2127,0.785,0.0020
26,256,10.1745,51.08,23.38,16.58,3.4693,6.71,0.1992,0.71,0.0019
24,257,16.1548,60.75,27.57,22.02,4.3649,11.79,0.2659,0.49,0.0011
24,258,15.7161,59.33,27.4,20.72,4.5813,11.13,0.2649,0.62,0.0014
24,259,13.4844,55.7,24.87,20.23,3.8301,9.65,0.2421,0.59,0.0015
24,260,11.933,54.32,22.81,18.62,3.8783,8.05,0.2197,0.535,0.0014
33,261,17.4836,58.34,29.54,21.15,4.5227,12.96,0.2997,0.61,0.0014
33,262,15.6337,58.44,27.29,22.7,4.0077,11.63,0.2675,0.57,0.0013
33,263,13.2674,53.8,25.76,20.76,3.3311,9.94,0.2466,0.6,0.0015
33,264,15.3808,55.9,26.43,20.79,4.789,10.59,0.2751,0.645,0.0016
44,265,15.3518,59.88,27.12,18.71,4.1792,11.17,0.2564,0.755,0.0017
44,266,14.2561,59.63,28.69,18.32,4.194,10.06,0.2391,0.635,0.0014
44,267,14.3353,57.29,27.75,20.12,3.9366,10.4,0.2502,0.695,0.0016
44,268,15.7508,58.67,24.66,20.37,4.9199,10.83,0.2685,0.85,0.0020
30,269,9.7024,57.72,23.12,16.22,2.7458,6.96,0.1681,0.645,0.0016
30,270,14.6682,58.66,25.72,20.69,4.4927,10.18,0.2501,0.56,0.0013
30,271,15.9065,57.54,25.12,20.21,4.7436,11.16,0.2764,0.79,0.0019
30,272,16.227,57.23,29.54,20.59,4.4161,11.81,0.2835,0.66,0.0015
39,273,11.3152,51.47,25.12,18.69,4.0353,7.28,0.2198,0.655,0.0017
39,274,19.0658,61.54,28.17,22.95,5.711,13.35,0.3098,0.85,0.0019
39,275,13.0002,53.4,23.74,20.07,4.2941,8.71,0.2434,0.765,0.0020
39,276,13.1519,56.07,24.94,19.65,4.562,8.59,0.2346,0.81,0.0020
22,277,14.3455,56.66,25.69,21.35,3.6988,10.65,0.2532,0.73,0.0018
22,278,18.6993,61.52,27.04,22.6,5.1872,13.51,0.304,0.765,0.0017
22,279,17.1396,58.67,27.77,21.93,4.8527,12.29,0.2921,0.955,0.0022
22,280,17.3878,58.17,29.72,20.99,4.7906,12.6,0.2989,0.8,0.0018
13,281,15.4756,58.14,26.11,20.16,4.6221,10.85,0.2662,0.92,0.0022
13,282,17.9501,60.43,27.56,22.3,6.1066,11.84,0.297,0.965,0.0022
13,283,16.8741,56.18,28.43,22.12,5.9929,10.88,0.3004,0.86,0.0020
13,284,17.6815,59.16,27.66,21.17,5.752,11.93,0.2989,0.955,0.0022
